sample_acc	run_acc	env_feat
ERS487936	ERR598950|ERR599095	(DCM) deep chlorophyll maximum layer (ENVO:01000326)
ERS487899	ERR598955|ERR599003	(SRF) surface water layer (ENVO:00002042)
ERS477953	ERR315856	(DCM) deep chlorophyll maximum layer (ENVO:01000326)
ERS477931	ERR315857	(SRF) surface water layer (ENVO:00002042)
ERS488147	ERR594315|ERR594329	(DCM) deep chlorophyll maximum layer (ENVO:01000326)
ERS488119	ERR594288|ERR594316|ERR594317	(SRF) surface water layer (ENVO:00002042)
ERS488346	ERR599073|ERR599092	(DCM) deep chlorophyll maximum layer (ENVO:01000326)
ERS488354	ERR594352	(DCM) deep chlorophyll maximum layer (ENVO:01000326)
ERS488330	ERR598993|ERR599140	(SRF) surface water layer (ENVO:00002042)
ERS488340	ERR594358	(SRF) surface water layer (ENVO:00002042)
ERS488448	ERR594378|ERR594406	(SRF) surface water layer (ENVO:00002042)
ERS477998	ERR315859|ERR315860	(DCM) deep chlorophyll maximum layer (ENVO:01000326)
ERS478007	ERR594408	(DCM) deep chlorophyll maximum layer (ENVO:01000326)
ERS477979	ERR315858|ERR315861	(SRF) surface water layer (ENVO:00002042)
ERS488509	ERR599094|ERR599153	(DCM) deep chlorophyll maximum layer (ENVO:01000326)
ERS488518	ERR594375	(DCM) deep chlorophyll maximum layer (ENVO:01000326)
ERS488486	ERR598951|ERR599043	(SRF) surface water layer (ENVO:00002042)
ERS488499	ERR594396	(SRF) surface water layer (ENVO:00002042)
ERS478040	ERR318618|ERR318619|ERR318620|ERR318621	(DCM) deep chlorophyll maximum layer (ENVO:01000326)
ERS478052	ERR594405	(DCM) deep chlorophyll maximum layer (ENVO:01000326)
ERS478017	ERR315862|ERR315863	(SRF) surface water layer (ENVO:00002042)
ERS488545	ERR598969|ERR599106	(SRF) surface water layer (ENVO:00002042)
ERS488558	ERR594401|ERR594410	(SRF) surface water layer (ENVO:00002042)
ERS488599	ERR599061|ERR599097	(DCM) deep chlorophyll maximum layer (ENVO:01000326)
ERS488613	ERR594360	(DCM) deep chlorophyll maximum layer (ENVO:01000326)
ERS488569	ERR599041|ERR599116|ERR599155	(SRF) surface water layer (ENVO:00002042)
ERS488589	ERR594393	(SRF) surface water layer (ENVO:00002042)
ERS488621	ERR599049|ERR599134	(SRF) surface water layer (ENVO:00002042)
ERS488685	ERR598975|ERR599111	(DCM) deep chlorophyll maximum layer (ENVO:01000326)
ERS488701	ERR594390	(DCM) deep chlorophyll maximum layer (ENVO:01000326)
ERS488658	ERR594328	(SRF) surface water layer (ENVO:00002042)
ERS488649	ERR598959|ERR598991	(SRF) surface water layer (ENVO:00002042)
ERS488673	ERR594368|ERR594370	(SRF) surface water layer (ENVO:00002042)
ERS488747	ERR598974|ERR599028	(DCM) deep chlorophyll maximum layer (ENVO:01000326)
ERS488757	ERR594402	(DCM) deep chlorophyll maximum layer (ENVO:01000326)
ERS488722	ERR594334	(SRF) surface water layer (ENVO:00002042)
ERS488714	ERR598966|ERR599143	(SRF) surface water layer (ENVO:00002042)
ERS488737	ERR594369	(SRF) surface water layer (ENVO:00002042)
ERS488773	ERR594290|ERR594345	(MES) mesopelagic zone (ENVO:00000213) & marine oxygen minimum zone (ENVO:01000065)
ERS488769	ERR599031|ERR599062	(MES) mesopelagic zone (ENVO:00000213) & marine oxygen minimum zone (ENVO:01000065)
ERS488830	ERR598949|ERR599082	(DCM) deep chlorophyll maximum layer (ENVO:01000326)
ERS488836	ERR594386|ERR594399	(DCM) deep chlorophyll maximum layer (ENVO:01000326)
ERS488853	ERR594312	(MES) mesopelagic zone (ENVO:00000213) & marine oxygen minimum zone (ENVO:01000065)
ERS488849	ERR599109|ERR599167	(MES) mesopelagic zone (ENVO:00000213) & marine oxygen minimum zone (ENVO:01000065)
ERS488803	ERR594330	(SRF) surface water layer (ENVO:00002042)
ERS488799	ERR599102|ERR599158	(SRF) surface water layer (ENVO:00002042)
ERS488813	ERR594374|ERR594400	(SRF) surface water layer (ENVO:00002042)
ERS488916	ERR599145	(DCM) deep chlorophyll maximum layer (ENVO:01000326)
ERS488929	ERR594363|ERR594397	(DCM) deep chlorophyll maximum layer (ENVO:01000326)
ERS488945	ERR594346	(MES) mesopelagic zone (ENVO:00000213) & marine oxygen minimum zone (ENVO:01000065)
ERS488936	ERR599037|ERR599172	(MES) mesopelagic zone (ENVO:00000213) & marine oxygen minimum zone (ENVO:01000065)
ERS488879	ERR594327	(SRF) surface water layer (ENVO:00002042)
ERS488892	ERR594356|ERR594365	(SRF) surface water layer (ENVO:00002042)
ERS489074	ERR598977|ERR599053	(DCM) deep chlorophyll maximum layer (ENVO:01000326)
ERS489084	ERR594366|ERR594367|ERR594371|ERR594372|ERR594373	(DCM) deep chlorophyll maximum layer (ENVO:01000326)
ERS489047	ERR594295	(SRF) surface water layer (ENVO:00002042)
ERS489043	ERR599011|ERR599074	(SRF) surface water layer (ENVO:00002042)
ERS489059	ERR594384	(SRF) surface water layer (ENVO:00002042)
ERS489134	ERR599013|ERR599130	(DCM) deep chlorophyll maximum layer (ENVO:01000326)
ERS489148	ERR594413	(DCM) deep chlorophyll maximum layer (ENVO:01000326)
ERS489087	ERR599075|ERR599141	(SRF) surface water layer (ENVO:00002042)
